Token,LOC,PER,ORG,MISC
aux,,,,
dents,,,,
une,,,,
longue,,,,
pipe,,,,
de,,,,
terre,,,,
sur,,,,
laquelle,,,,
son,,,,
nom,,,,
était,,,,
en,,,,
lettres,,,,
de,,,,
porcelaine,,,,
.,,,,
Tous,,,,
les,,,,
maîtres,,,,
d',,,,
étude,,,,
avaient,,,,
,,,,
au,,,,
café,,,,
Barbette,,,,
,,,,
une,,,,
pipe,,,,
comme,,,,
cela,,,,
.,,,,
«,,,,
Eh,,,,
bien,,,,
,,,,
collègue,,,,
,,,,
me,,,,
dit,,,,
le,,,,
gros,,,,
Serrières,,,,
,,,,
vous,,,,
voyez,,,,
qu',,,,
il,,,,
y,,,,
a,,,,
encore,,,,
de,,,,
bons,,,,
moments,,,,
dans,,,,
le,,,,
métier,,,,
...,,,,
En,,,,
somme,,,,
,,,,
vous,,,,
êtes,,,,
bien,,,,
tombé,,,,
en,,,,
venant,,,,
à,,,,
Sarlande,,,,
pour,,,,
votre,,,,
début,,,,
.,,,,
D',,,,
abord,,,,
l',,,,
absinthe,,,,
du,,,,
café,,,,
Barbette,,,,
est,,,,
excellente,,,,
et,,,,
puis,,,,
,,,,
là,,,,
-,,,,
bas,,,,
,,,,
à,,,,
la,,,,
boîte,,,,
,,,,
vous,,,,
ne,,,,
serez,,,,
pas,,,,
trop,,,,
mal,,,,
.,,,,
»,,,,
La,,,,
boîte,,,,
,,,,
c',,,,
était,,,,
le,,,,
collège,,,,
.,,,,
«,,,,
Vous,,,,
allez,,,,
avoir,,,,
l',,,,
étude,,,,
des,,,,
petits,,,,
,,,,
des,,,,
gamins,,,,
qu',,,,
on,,,,
mène,,,,
à,,,,
la,,,,
baguette,,,,
.,,,,
Il,,,,
faut,,,,
voir,,,,
comme,,,,
je,,,,
les,,,,
ai,,,,
dressés,,,,
!,,,,
Le,,,,
principal,,,,
n',,,,
est,,,,
pas,,,,
méchant,,,,
,,,,
les,,,,
collègues,,,,
sont,,,,
de,,,,
bons,,,,
garçons,,,,
:,,,,
il,,,,
n',,,,
y,,,,
a,,,,
que,,,,
la,,,,
vieille,,,,
et,,,,
le,,,,
père,,,,
Viot,,,,
...,,,,
–,,,,
Quelle,,,,
vieille,,,,
?,,,,
demandai,,,,
-je,,,,
en,,,,
tressaillant,,,,
.,,,,
–,,,,
Oh,,,,
!,,,,
vous,,,,
la,,,,
connaîtrez,,,,
bientôt,,,,
.,,,,
À,,,,
toute,,,,
heure,,,,
du,,,,
jour,,,,
et,,,,
de,,,,
la,,,,
nuit,,,,
,,,,
on,,,,
la,,,,
rencontre,,,,
rôdant,,,,
par,,,,
le,,,,
collège,,,,
,,,,
avec,,,,
une,,,,
énorme,,,,
paire,,,,
de,,,,
lunettes,,,,
...,,,,
C',,,,
est,,,,
une,,,,
tante,,,,
du,,,,
principal,,,,
,,,,
et,,,,
elle,,,,
remplit,,,,
ici,,,,
les,,,,
fonctions,,,,
d',,,,
économe,,,,
.,,,,
Ah,,,,
!,,,,
la,,,,
coquine,,,,
!,,,,
si,,,,
nous,,,,
ne,,,,
mourons,,,,
pas,,,,
de,,,,
faim,,,,
,,,,
ce,,,,
n',,,,
est,,,,
pas,,,,
de,,,,
sa,,,,
faute,,,,
.,,,,
»,,,,
Au,,,,
signalement,,,,
que,,,,
me,,,,
donnait,,,,
Serrières,,,,
,,,,
j',,,,
avais,,,,
reconnu,,,,
la,,,,
fée,,,,
aux,,,,
lunettes,,,,
et,,,,
malgré,,,,
moi,,,,
je,,,,
me,,,,
sentais,,,,
rougir,,,,
.,,,,
Dix,,,,
fois,,,,
,,,,
je,,,,
fus,,,,
sur,,,,
le,,,,
point,,,,
d',,,,
interrompre,,,,
mon,,,,
collège,,,,
et,,,,
de,,,,
lui,,,,
demander,,,,
:,,,,
«,,,,
Et,,,,
les,,,,
yeux,,,,
noirs,,,,
?,,,,
»,,,,
Mais,,,,
je,,,,
n',,,,
osai,,,,
pas,,,,
.,,,,
Parler,,,,
des,,,,
yeux,,,,
noirs,,,,
au,,,,
café,,,,
Barbette,,,,
!,,,,
',,,,
.,,,,
En,,,,
attendant,,,,
,,,,
le,,,,
punch,,,,
circulait,,,,
,,,,
les,,,,
verres,,,,
vides,,,,
s',,,,
emplissaient,,,,
,,,,
les,,,,
verres,,,,
remplis,,,,
se,,,,
vidaient,,,,
,,,,
c',,,,
était,,,,
des,,,,
toasts,,,,
,,,,
des,,,,
oh,,,,
!,,,,
oh,,,,
!,,,,
des,,,,
ah,,,,
!,,,,
ah,,,,
!,,,,
des,,,,
queues,,,,
de,,,,
billard,,,,
en,,,,
!,,,,
.'air,,,,
,,,,
des,,,,
bousculades,,,,
,,,,
de,,,,
gros,,,,
rires,,,,
,,,,
des,,,,
calembours,,,,
,,,,
des,,,,
confidences,,,,
...,,,,
Peu,,,,
à,,,,
peu,,,,
,,,,
le,,,,
petit,,,,
Chose,,,,
se,,,,
sentit,,,,
moins,,,,
timide,,,,
.,,,,
Il,,,,
avait,,,,
quitté,,,,
son,,,,
encoignure,,,,
et,,,,
se,,,,
promenait,,,,
par,,,,
le,,,,
café,,,,
,,,,
parlant,,,,
haut,,,,
,,,,
le,,,,
verre,,,,
à,,,,
la,,,,
main,,,,
.,,,,
À,,,,
cette,,,,
heure,,,,
,,,,
les,,,,
sous-officiers,,,,
étaient,,,,
ses,,,,
amis,,,,
,,,,
il,,,,
raconta,,,,
effrontément,,,,
à,,,,
l',,,,
un,,,,
d',,,,
eux,,,,
qu',,,,
il,,,,
appartenait,,,,
à,,,,
une,,,,
famille,,,,
très,,,,
riche,,,,
et,,,,
qu',,,,
à,,,,
la,,,,
suite,,,,
de,,,,
quelques,,,,
folies,,,,
de,,,,
jeune,,,,
homme,,,,
,,,,
on,,,,
l',,,,
avait,,,,
chassé,,,,
de,,,,
la,,,,
maison,,,,
paternelle,,,,
,,,,
il,,,,
s',,,,
était,,,,
fait,,,,
maître,,,,
d',,,,
étude,,,,
pour,,,,
vivre,,,,
mais,,,,
il,,,,
ne,,,,
pensait,,,,
pas,,,,
rester,,,,
au,,,,
collège,,,,
longtemps,,,,
...,,,,
Vous,,,,
comprenez,,,,
,,,,
avec,,,,
une,,,,
famille,,,,
tellement,,,,
riche,,,,
!,,,,
...,,,,
Ah,,,,
!,,,,
si,,,,
ceux,,,,
de,,,,
Lyon,,,,
avaient,,,,
pu,,,,
l',,,,
entendre,,,,
à,,,,
ce,,,,
moment,,,,
-là,,,,
.,,,,
Ce,,,,
que,,,,
c',,,,
est,,,,
que,,,,
de,,,,
nous,,,,
,,,,
pourtant,,,,
!,,,,
Quand,,,,
on,,,,
sut,,,,
au,,,,
café,,,,
Barbette,,,,
,,,,
que,,,,
j',,,,
étais,,,,
un,,,,
fils,,,,
de,,,,
famille,,,,
en,,,,
rupture,,,,
de,,,,
ban,,,,
,,,,
un,,,,
polisson,,,,
,,,,
un,,,,
mauvais,,,,
drôle,,,,
,,,,
et,,,,
non,,,,
point,,,,
,,,,
comme,,,,
on,,,,
aurait,,,,
pu,,,,
le,,,,
croire,,,,
,,,,
un,,,,
pauvre,,,,
garçon,,,,
condamné,,,,
par,,,,
la,,,,
misère,,,,
à,,,,
la,,,,
pédagogie,,,,
,,,,
tout,,,,
le,,,,
monde,,,,
me,,,,
regarda,,,,
d',,,,
un,,,,
meilleur,,,,
œil,,,,
.,,,,
Les,,,,
plus,,,,
anciens,,,,
sous-officiers,,,,
ne,,,,
dédaignèrent,,,,
pas,,,,
de,,,,
m',,,,
adresser,,,,
la,,,,
parole,,,,
,,,,
on,,,,
alla,,,,
même,,,,
plus,,,,
loin,,,,
:,,,,
au,,,,
moment,,,,
de,,,,
partir,,,,
,,,,
Roger,,,,
,,,,
le,,,,
maître,,,,
d',,,,
armes,,,,
,,,,
mon,,,,
ami,,,,
de,,,,
la,,,,
veille,,,,
,,,,
se,,,,
leva,,,,
et,,,,
porta,,,,
un,,,,
toast,,,,
à,,,,
Daniel,,,,
Eyssette,,,,
.,,,,
Vous,,,,
pensez,,,,
si,,,,
le,,,,
petit,,,,
Chose,,,,
fut,,,,
fier,,,,
.,,,,
Le,,,,
toast,,,,
à,,,,
Daniel,,,,
Eyssette,,,,
donna,,,,
le,,,,
signal,,,,
du,,,,
départ,,,,
.,,,,
Il,,,,
était,,,,
dix,,,,
heures,,,,
moins,,,,
le,,,,
quart,,,,
,,,,
c',,,,
est,,,,
-,,,,
à,,,,
-,,,,
dire,,,,
l',,,,
heure,,,,
de,,,,
retourner,,,,
au,,,,
collège,,,,
.,,,,
L',,,,
homme,,,,
aux,,,,
clefs,,,,
nous,,,,
attendait,,,,
sur,,,,
la,,,,
porte,,,,
.,,,,
«,,,,
Monsieur,,,,
Serrières,,,,
,,,,
dit,,,,
-il,,,,
à,,,,
mon,,,,
gros,,,,
collègue,,,,
que,,,,
le,,,,
punch,,,,
d',,,,
adieu,,,,
faisait,,,,
trébucher,,,,
,,,,
vous,,,,
allez,,,,
,,,,
pour,,,,
la,,,,
dernière,,,,
fois,,,,
,,,,
conduire,,,,
vos,,,,
élèves,,,,
à,,,,
l',,,,
étude,,,,
,,,,
dès,,,,
qu',,,,
ils,,,,
seront,,,,
entrés,,,,
,,,,
M.,,,,
le,,,,
principal,,,,
et,,,,
moi,,,,
nous,,,,
viendrons,,,,
installer,,,,
le,,,,
nouveau,,,,
maître,,,,
.,,,,
»,,,,
En,,,,
effet,,,,
,,,,
quelques,,,,
minutes,,,,
après,,,,
,,,,
le,,,,
principal,,,,
M.,,,,
Viot,,,,
et,,,,
le,,,,
nouveau,,,,
maître,,,,
faisaient,,,,
leur,,,,
entrée,,,,
solennelle,,,,
à,,,,
l',,,,
étude,,,,
.,,,,
Tout,,,,
le,,,,
monde,,,,
se,,,,
leva,,,,
.,,,,
Le,,,,
principal,,,,
me,,,,
présenta,,,,
aux,,,,
élèves,,,,
en,,,,
un,,,,
discours,,,,
un,,,,
peu,,,,
long,,,,
,,,,
mais,,,,
plein,,,,
de,,,,
dignité,,,,
,,,,
puis,,,,
il,,,,
se,,,,
retira,,,,
suivi,,,,
du,,,,
gros,,,,
Serrières,,,,
que,,,,
le,,,,
punch,,,,
d',,,,
adieu,,,,
tourmentait,,,,
de,,,,
plus,,,,
en,,,,
plus,,,,
.,,,,
M.,,,,
Viot,,,,
resta,,,,
le,,,,
dernier,,,,
.,,,,
Il,,,,
ne,,,,
prononça,,,,
pas,,,,
de,,,,
discours,,,,
,,,,
mais,,,,
ses,,,,
clefs,,,,
,,,,
frinc,,,,
!,,,,
frinc,,,,
!,,,,
frinc,,,,
!,,,,
parlèrent,,,,
pour,,,,
lui,,,,
d',,,,
une,,,,
façon,,,,
si,,,,
terrible,,,,
,,,,
frinc,,,,
!,,,,
frinc,,,,
!,,,,
frinc,,,,
!,,,,
si,,,,
menaçante,,,,
,,,,
que,,,,
toutes,,,,
les,,,,
têtes,,,,
se,,,,
cachèrent,,,,
sous,,,,
les,,,,
couvercles,,,,
des,,,,
pupitres,,,,
et,,,,
que,,,,
le,,,,
nouveau,,,,
maître,,,,
lui-même,,,,
n',,,,
était,,,,
pas,,,,
rassuré,,,,
.,,,,
Aussitôt,,,,
que,,,,
les,,,,
terribles,,,,
clefs,,,,
furent,,,,
dehors,,,,
,,,,
un,,,,
tas,,,,
de,,,,
figures,,,,
malicieuses,,,,
sortirent,,,,
de,,,,
derrière,,,,
les,,,,
pupitres,,,,
,,,,
toutes,,,,
les,,,,
barbes,,,,
de,,,,
plumes,,,,
se,,,,
portèrent,,,,
aux,,,,
lèvres,,,,
,,,,
tous,,,,
ces,,,,
petits,,,,
yeux,,,,
brillants,,,,
,,,,
moqueurs,,,,
,,,,
effarés,,,,
,,,,
se,,,,
fixèrent,,,,
sur,,,,
moi,,,,
,,,,
tandis,,,,
qu',,,,
un,,,,
long,,,,
chuchotement,,,,
courait,,,,
de,,,,
table,,,,
en,,,,
table,,,,
.,,,,
Un,,,,
peu,,,,
troublé,,,,
,,,,
je,,,,
gravis,,,,
lentement,,,,
les,,,,
degrés,,,,
de,,,,
ma,,,,
chaire,,,,
,,,,
j',,,,
essayai,,,,
de,,,,
promener,,,,
un,,,,
regard,,,,
féroce,,,,
autour,,,,
de,,,,
moi,,,,
,,,,
puis,,,,
,,,,
enflant,,,,
ma,,,,
voix,,,,
,,,,
je,,,,
criai,,,,
entre,,,,
deux,,,,
grands,,,,
coups,,,,
secs,,,,
frappés,,,,
sur,,,,
la,,,,
table,,,,
:,,,,
«,,,,
Travaillons,,,,
,,,,
messieurs,,,,
,,,,
travaillons,,,,
!,,,,
»,,,,
C',,,,
est,,,,
ainsi,,,,
que,,,,
le,,,,
petit,,,,
Chose,,,,
commença,,,,
sa,,,,
première,,,,
étude,,,,
.,,,,
VI,,,,
--,,,,
LES,,,,
PETITS,,,,
CEUX,,,,
-,,,,
LA,,,,
n',,,,
étaient,,,,
pas,,,,
méchants,,,,
,,,,
c',,,,
étaient,,,,
les,,,,
autres,,,,
.,,,,
Ceux,,,,
-là,,,,
ne,,,,
me,,,,
firent,,,,
jamais,,,,
de,,,,
mal,,,,
,,,,
et,,,,
moi,,,,
je,,,,
les,,,,
aimais,,,,
bien,,,,
,,,,
parce,,,,
qu',,,,
ils,,,,
ne,,,,
sentaient,,,,
pas,,,,
encore,,,,
le,,,,
collège,,,,
et,,,,
qu',,,,
on,,,,
lisait,,,,
toute,,,,
leur,,,,
âme,,,,
dans,,,,
leurs,,,,
yeux,,,,
.,,,,
Je,,,,
ne,,,,
les,,,,
punissais,,,,
jamais,,,,
:,,,,
À,,,,
quoi,,,,
bon,,,,
?,,,,
Est,,,,
-ce,,,,
qu',,,,
on,,,,
punit,,,,
les,,,,
oiseaux,,,,
?,,,,
...,,,,
Quand,,,,
ils,,,,
pépiaient,,,,
trop,,,,
haut,,,,
,,,,
je,,,,
n',,,,
avais,,,,
qu',,,,
à,,,,
crier,,,,
:,,,,
«,,,,
Silence,,,,
!,,,,
»,,,,
Aussitôt,,,,
ma,,,,
volière,,,,
se,,,,
taisait,,,,
--,,,,
au,,,,
moins,,,,
pour,,,,
cinq,,,,
minutes,,,,
.,,,,
Le,,,,
plus,,,,
âgé,,,,
de,,,,
l',,,,
étude,,,,
avait,,,,
onze,,,,
ans,,,,
.,,,,
Onze,,,,
ans,,,,
,,,,
je,,,,
vous,,,,
demande,,,,
!,,,,
Et,,,,
le,,,,
gros,,,,
Serrières,,,,
qui,,,,
se,,,,
vantait,,,,
de,,,,
les,,,,
mener,,,,
à,,,,
la,,,,
baguette,,,,
!,,,,
...,,,,
Moi,,,,
,,,,
je,,,,
ne,,,,
les,,,,
menai,,,,
pas,,,,
à,,,,
la,,,,
baguette,,,,
.,,,,
J',,,,
essayai,,,,
d',,,,
être,,,,
toujours,,,,
bon,,,,
,,,,
voilà,,,,
tout,,,,
.,,,,
Quelquefois,,,,
,,,,
quand,,,,
ils,,,,
avaient,,,,
été,,,,
bien,,,,
sages,,,,
,,,,
je,,,,
leur,,,,
racontais,,,,
une,,,,
histoire,,,,
...,,,,
Une,,,,
histoire,,,,
!,,,,
...,,,,
Quel,,,,
bonheur,,,,
!,,,,
Vite,,,,
,,,,
vite,,,,
,,,,
on,,,,
pliait,,,,
les,,,,
cahiers,,,,
,,,,
on,,,,
fermait,,,,
les,,,,
livres,,,,
,,,,
encriers,,,,
,,,,
règles,,,,
,,,,
porte-plume,,,,
,,,,
on,,,,
jetait,,,,
tout,,,,
pêle-mêle,,,,
au,,,,
fond,,,,
des,,,,
pupitres,,,,
,,,,
puis,,,,
,,,,
les,,,,
bras,,,,
croisés,,,,
sur,,,,
la,,,,
table,,,,
,,,,
on,,,,
ouvrait,,,,
de,,,,
grands,,,,
yeux,,,,
et,,,,
on,,,,
écoutait,,,,
.,,,,
J',,,,
avais,,,,
composé,,,,
à,,,,
leur,,,,
intention,,,,
cinq,,,,
ou,,,,
six,,,,
petits,,,,
contes,,,,
fantastiques,,,,
:,,,,
les,,,,
Débuts,,,,
d',,,,
une,,,,
cigale,,,,
,,,,
les,,,,
Infortunes,,,,
de,,,,
Jean,,,,
Lapin,,,,
,,,,
etc.,,,,
Alors,,,,
,,,,
comme,,,,
aujourd'hui,,,,
,,,,
le,,,,
bonhomme,,,,
La,,,,
Fontaine,,,,
était,,,,
mon,,,,
saint,,,,
de,,,,
prédilection,,,,
dans,,,,
le,,,,
calendrier,,,,
littéraire,,,,
,,,,
et,,,,
mes,,,,
romans,,,,
ne,,,,
faisaient,,,,
que,,,,
commenter,,,,
ses,,,,
fables,,,,
,,,,
seulement,,,,
j',,,,
y,,,,
mêlais,,,,
de,,,,
ma,,,,
propre,,,,
histoire,,,,
.,,,,
Il,,,,
y,,,,
avait,,,,
toujours,,,,
un,,,,
pauvre,,,,
grillon,,,,
obligé,,,,
de,,,,
gagner,,,,
sa,,,,
vie,,,,
comme,,,,
le,,,,
petit,,,,
Chose,,,,
,,,,
des,,,,
bêtes,,,,
à,,,,
bon,,,,
Dieu,,,,
qui,,,,
cartonnaient,,,,
en,,,,
sanglotant,,,,
,,,,
comme,,,,
Eyssette,,,,
(,,,,
Jacques,,,,
),,,,
.,,,,
Cela,,,,
amusait,,,,
beaucoup,,,,
mes,,,,
petits,,,,
,,,,
et,,,,
moi,,,,
aussi,,,,
cela,,,,
m',,,,
amusait,,,,
beaucoup,,,,
.,,,,
Malheureusement,,,,
,,,,
M.,,,,
Viot,,,,
n',,,,
entendait,,,,
pas,,,,
qu',,,,
on,,,,
s',,,,
amusât,,,,
de,,,,
la,,,,
sorte,,,,
.,,,,
Trois,,,,
ou,,,,
quatre,,,,
fois,,,,
par,,,,
semaine,,,,
,,,,
le,,,,
terrible,,,,
homme,,,,
aux,,,,
clefs,,,,
faisait,,,,
une,,,,
tournée,,,,
d',,,,
inspection,,,,
dans,,,,
le,,,,
collège,,,,
,,,,
pour,,,,
voir,,,,
si,,,,
tout,,,,
s',,,,
y,,,,
passait,,,,
selon,,,,
le,,,,
règlement,,,,
...,,,,
Or,,,,
,,,,
un,,,,
de,,,,
ces,,,,
jours,,,,
-là,,,,
,,,,
il,,,,
arriva,,,,
dans,,,,
notre,,,,
étude,,,,
juste,,,,
au,,,,
moment,,,,
le,,,,
plus,,,,
pathétique,,,,
de,,,,
l',,,,
histoire,,,,
de,,,,
Jean,,,,
Lapin,,,,
.,,,,
En,,,,
voyant,,,,
entrer,,,,
M.,,,,
Viot,,,,
toute,,,,
l',,,,
étude,,,,
tressauta,,,,
.,,,,
Les,,,,
petits,,,,
,,,,
effarés,,,,
,,,,
se,,,,
regardèrent,,,,
.,,,,
Le,,,,
narrateur,,,,
s',,,,
arrêta,,,,
court,,,,
,,,,
Jean,,,,
Lapin,,,,
,,,,
interdit,,,,
,,,,
resta,,,,
une,,,,
patte,,,,
en,,,,
l',,,,
air,,,,
,,,,
en,,,,
dressant,,,,
de,,,,
frayeur,,,,
ses,,,,
grandes,,,,
oreilles,,,,
.,,,,
Debout,,,,
devant,,,,
ma,,,,
chaire,,,,
,,,,
le,,,,
souriant,,,,
M.,,,,
Viot,,,,
promenait,,,,
un,,,,
long,,,,
regard,,,,
d',,,,
étonnement,,,,
sur,,,,
les,,,,
pupitres,,,,
dégarnis,,,,
.,,,,
Il,,,,
ne,,,,
parlait,,,,
pas,,,,
,,,,
mais,,,,
ses,,,,
clefs,,,,
s',,,,
agitaient,,,,
d',,,,
un,,,,
air,,,,
féroce,,,,
:,,,,
«,,,,
Frinc,,,,
!,,,,
frinc,,,,
!,,,,
frinc,,,,
!,,,,
tas,,,,
de,,,,
drôles,,,,
,,,,
on,,,,
ne,,,,
travaille,,,,
donc,,,,
plus,,,,
ici,,,,
!,,,,
»,,,,
J',,,,
essayai,,,,
tout,,,,
tremblant,,,,
d',,,,
apaiser,,,,
les,,,,
terribles,,,,
clefs,,,,
.,,,,
«,,,,
Ces,,,,
messieurs,,,,
ont,,,,
beaucoup,,,,
travaillé,,,,
,,,,
ces,,,,
jours,,,,
-,,,,
ci,,,,
,,,,
balbutiai,,,,
-je,,,,
...,,,,
J',,,,
ai,,,,
voulu,,,,
les,,,,
récompenser,,,,
en,,,,
leur,,,,
racontant,,,,
une,,,,
petite,,,,
histoire,,,,
.,,,,
»,,,,
M.,,,,
Viot,,,,
ne,,,,
me,,,,
répondit,,,,
pas,,,,
.,,,,
Il,,,,
s',,,,
inclina,,,,
en,,,,
souriant,,,,
,,,,
fit,,,,
gronder,,,,
ses,,,,
clefs,,,,
une,,,,
dernière,,,,
fois,,,,
et,,,,
sortit,,,,
!,,,,
.,,,,
Le,,,,
soir,,,,
,,,,
à,,,,
la,,,,
récréation,,,,
de,,,,
quatre,,,,
heures,,,,
,,,,
il,,,,
vint,,,,
vers,,,,
moi,,,,
,,,,
et,,,,
me,,,,
remit,,,,
,,,,
toujours,,,,
souriant,,,,
,,,,
toujours,,,,
muet,,,,
,,,,
le,,,,
cahier,,,,
du,,,,
règlement,,,,
ouvert,,,,
à,,,,
la,,,,
page,,,,
12,,,,
:,,,,
Devoirs,,,,
du,,,,
maître,,,,
envers,,,,
les,,,,
élèves,,,,
.,,,,
Je,,,,
compris,,,,
qu',,,,
il,,,,
ne,,,,
fallait,,,,
plus,,,,
raconter,,,,
d',,,,
histoires,,,,
et,,,,
je,,,,
n',,,,
en,,,,
racontai,,,,
plus,,,,
jamais,,,,
.,,,,
Pendant,,,,
quelques,,,,
jours,,,,
,,,,
mes,,,,
petits,,,,
furent,,,,
inconsolables,,,,
.,,,,
Jean,,,,
Lapin,,,,
leur,,,,
manquait,,,,
,,,,
et,,,,
cela,,,,
me,,,,
crevait,,,,
le,,,,
cœur,,,,
de,,,,
ne,,,,
pouvoir,,,,
le,,,,
leur,,,,
rendre,,,,
.,,,,
Je,,,,
les,,,,
aimais,,,,
tant,,,,
,,,,
si,,,,
vous,,,,
saviez,,,,
,,,,
ces,,,,
gamins,,,,
-là,,,,
!,,,,
Jamais,,,,
nous,,,,
ne,,,,
nous,,,,
quittions,,,,
...,,,,
Le,,,,
collège,,,,
était,,,,
divisé,,,,
en,,,,
trois,,,,
quartiers,,,,
très,,,,
distincts,,,,
:,,,,
les,,,,
grands,,,,
,,,,
les,,,,
moyens,,,,
,,,,
les,,,,
petits,,,,
,,,,
chaque,,,,
quartier,,,,
avait,,,,
sa,,,,
cour,,,,
,,,,
son,,,,
dortoir,,,,
,,,,
son,,,,
étude,,,,
.,,,,
Mes,,,,
petits,,,,
étaient,,,,
donc,,,,
à,,,,
moi,,,,
,,,,
bien,,,,
à,,,,
moi,,,,
.,,,,
Il,,,,
me,,,,
semblait,,,,
que,,,,
j',,,,
avais,,,,
trente-cinq,,,,
enfants,,,,
.,,,,
À,,,,
part,,,,
ceux,,,,
-là,,,,
,,,,
pas,,,,
un,,,,
ami,,,,
.,,,,
M.,,,,
Viot,,,,
avait,,,,
beau,,,,
me,,,,
sourire,,,,
,,,,
me,,,,
prendre,,,,
par,,,,
le,,,,
bras,,,,
aux,,,,
récréations,,,,
,,,,
me,,,,
donner,,,,
des,,,,
conseils,,,,
au,,,,
sujet,,,,
du,,,,
règlement,,,,
,,,,
je,,,,
ne,,,,
l',,,,
aimais,,,,
pas,,,,
,,,,
je,,,,
ne,,,,
pouvais,,,,
pas,,,,
l',,,,
aimer,,,,
,,,,
ses,,,,
clefs,,,,
me,,,,
faisaient,,,,
trop,,,,
peur,,,,
.,,,,
Le,,,,
principal,,,,
,,,,
je,,,,
ne,,,,
le,,,,
voyais,,,,
jamais,,,,
.,,,,
Les,,,,
professeurs,,,,
méprisaient,,,,
le,,,,
petit,,,,
Chose,,,,
et,,,,
le,,,,
regardaient,,,,
du,,,,
haut,,,,
de,,,,
leur,,,,
toque,,,,
.,,,,
Quant,,,,
à,,,,
mes,,,,
collègues,,,,
,,,,
la,,,,
sympathie,,,,
que,,,,
l',,,,
homme,,,,
aux,,,,
clefs,,,,
paraissait,,,,
me,,,,
témoigner,,,,
me,,,,
les,,,,
avait,,,,
aliénés,,,,
,,,,
d',,,,
ailleurs,,,,
,,,,
depuis,,,,
ma,,,,
présentation,,,,
aux,,,,
sous-officiers,,,,
,,,,
je,,,,
n',,,,
étais,,,,
plus,,,,
retourné,,,,
au,,,,
café,,,,
Barbette,,,,
,,,,
et,,,,
ces,,,,
braves,,,,
gens,,,,
ne,,,,
me,,,,
le,,,,
pardonnaient,,,,
pas,,,,
.,,,,
Il,,,,
n',,,,
y,,,,
avait,,,,
pas,,,,
jusqu',,,,
au,,,,
portier,,,,
Cassagne,,,,
et,,,,
au,,,,
maître,,,,
d',,,,
armes,,,,
Roger,,,,
qui,,,,
ne,,,,
fussent,,,,
pas,,,,
contre,,,,
moi,,,,
.,,,,
Le,,,,
maître,,,,
d',,,,
armes,,,,
surtout,,,,
semblait,,,,
m',,,,
en,,,,
vouloir,,,,
terriblement,,,,
.,,,,
Quand,,,,
je,,,,
passais,,,,
à,,,,
côté,,,,
de,,,,
lui,,,,
,,,,
il,,,,
frisait,,,,
sa,,,,
moustache,,,,
d',,,,
un,,,,
air,,,,
féroce,,,,
et,,,,
roulait,,,,
de,,,,
gros,,,,
yeux,,,,
,,,,
comme,,,,
s',,,,
il,,,,
eût,,,,
voulu,,,,
sabrer,,,,
un,,,,
cent,,,,
d',,,,
Arabes,,,,
.,,,,
Une,,,,
fois,,,,
il,,,,
dit,,,,
très,,,,
haut,,,,
à,,,,
Cassagne,,,,
,,,,
en,,,,
me,,,,
regardant,,,,
,,,,
qu',,,,
il,,,,
n',,,,
aimait,,,,
pas,,,,
les,,,,
espions,,,,
.,,,,
Cassagne,,,,
ne,,,,
répondit,,,,
pas,,,,
,,,,
mais,,,,
je,,,,
vis,,,,
bien,,,,
à,,,,
son,,,,
air,,,,
qu',,,,
il,,,,
ne,,,,
les,,,,
aimait,,,,
pas,,,,
non,,,,
plus,,,,
...,,,,
De,,,,
quels,,,,
espions,,,,
s',,,,
agissait,,,,
-il,,,,
?,,,,
...,,,,
Cela,,,,
me,,,,
fit,,,,
beaucoup,,,,
penser,,,,
.,,,,
Devant,,,,
cette,,,,
antipathie,,,,
universelle,,,,
,,,,
j',,,,
avais,,,,
pris,,,,
bravement,,,,
mon,,,,
parti,,,,
.,,,,
Le,,,,
maître,,,,
des,,,,
moyens,,,,
partageait,,,,
avec,,,,
moi,,,,
une,,,,
petite,,,,
chambre,,,,
,,,,
au,,,,
troisième,,,,
étage,,,,
,,,,
sous,,,,
les,,,,
combles,,,,
,,,,
c',,,,
est,,,,
là,,,,
que,,,,
je,,,,
me,,,,
réfugiais,,,,
pendant,,,,
les,,,,
heures,,,,
de,,,,
classe,,,,
.,,,,
Comme,,,,
,,,,
mon,,,,
collègue,,,,
passait,,,,
tout,,,,
son,,,,
temps,,,,
au,,,,
café,,,,
Barbette,,,,
,,,,
la,,,,
chambre,,,,
m',,,,
appartenait,,,,
,,,,
c',,,,
était,,,,
ma,,,,
chambre,,,,
,,,,
mon,,,,
chez,,,,
moi,,,,
.,,,,
À,,,,
peine,,,,
rentré,,,,
,,,,
je,,,,
m',,,,
enfermais,,,,
à,,,,
double,,,,
tour,,,,
,,,,
je,,,,
traînais,,,,
ma,,,,
malle,,,,
--,,,,
il,,,,
n',,,,
y,,,,
avait,,,,
pas,,,,
de,,,,
chaise,,,,
dans,,,,
ma,,,,
chambre,,,,
--,,,,
devant,,,,
un,,,,
vieux,,,,
bureau,,,,
criblé,,,,
de,,,,
taches,,,,
d',,,,
encre,,,,
et,,,,
d',,,,
inscriptions,,,,
au,,,,
canif,,,,
,,,,
j',,,,
étalais,,,,
dessus,,,,
tous,,,,
mes,,,,
livres,,,,
,,,,
et,,,,
à,,,,
l',,,,
ouvrage,,,,
.,,,,
Alors,,,,
on,,,,
était,,,,
